NOME_MUNICIPIO,NUM_HABITANTES,ANO
Fernando Falcao,4317,2000
Formosa da Serra Negra,8623,2000
Fortaleza dos Nogueiras,10700,2000
Fortuna,16150,2000
Godofredo Viana,9042,2000
Goncalves Dias,17165,2000
Governador Archer,8876,2000
Governador Edison Lobao,7789,2000
Governador Eugenio Barros,11791,2000
Governador Luiz Rocha,8502,2000
Governador Newton Bello,11203,2000
Governador Nunes Freire,22819,2000
Graca Aranha,6107,2000
Grajau,41232,2000
Guimaraes,12916,2000
Humberto de Campos,17975,2000
Icatu,18797,2000
Igarape do Meio,9317,2000
Igarape Grande,10881,2000
Imperatriz,224148,2000
Itaipava do Grajau,9237,2000
Itapecuru Mirim,53506,2000
Itinga do Maranhao,21374,2000
Jatoba,6861,2000
Jenipapo dos Vieiras,8839,2000
Joao Lisboa,22355,2000
Joselandia,13950,2000
Junco do Maranhao,5665,2000
Lago da Pedra,39636,2000
Lago do Junco,8715,2000
Lago dos Rodrigues,7866,2000
Lago Verde,13417,2000
Lagoa do Mato,9547,2000
Lagoa Grande do Maranhao,9574,2000
Lajeado Novo,4707,2000
Lima Campos,11637,2000
Loreto,9706,2000
Luis Domingues,7979,2000
Magalhaes de Almeida,13960,2000
Maracacume,14742,2000
Maraja do Sena,7701,2000
Maranhaozinho,8338,2000
Mata Roma,10789,2000
Matinha,17445,2000
Matoes,23573,2000
Matoes do Norte,5408,2000
Milagres do Maranhao,6956,2000
Mirador,19282,2000
Miranda do Norte,16109,2000
Mirinzal,13293,2000
Moncao,22679,2000
Montes Altos,9824,2000
Morros,14056,2000
Nina Rodrigues,7689,2000
Nova Colinas,3392,2000
Nova Iorque,4460,2000
Nova Olinda do Maranhao,16792,2000
Olho d'agua das Cunhas,20856,2000
Olinda Nova do Maranhao,11909,2000
Paco do Lumiar,62684,2000
Palmeirandia,16022,2000
Paraibano,21091,2000
Parnarama,28738,2000
Passagem Franca,15931,2000
Pastos Bons,15124,2000
Paulino Neves,13201,2000
Paulo Ramos,20292,2000
Pedreiras,42724,2000
Pedro do Rosario,10538,2000
Penalva,33073,2000
Peri Mirim,18214,2000
Peritoro,14957,2000
Pindare Mirim,24429,2000
Pinheiro,67418,2000
Pio XII,23044,2000
Pirapemas,22197,2000
Pocao de Pedras,21439,2000
Porto Franco,16266,2000
Porto Rico do Maranhao,7316,2000
Presidente Dutra,37720,2000
Presidente Juscelino,8162,2000
Presidente Medici,4795,2000
Presidente Sarney,13710,2000
Presidente Vargas,10095,2000
Primeira Cruz,9220,2000
Raposa,16956,2000
Riachao,18958,2000
Ribamar Fiquene,5795,2000
Rosario,33321,2000
Sambaiba,6357,2000
Santa Filomena do Maranhao,3544,2000
